gene,logP
isogroup110,3.9
isogroup1100,1.4
isogroup11000,0.8
isogroup11001,-1.2
isogroup11002,-0.7
isogroup11003,-0.3
isogroup11004,-1.4
isogroup11005,-4.4
isogroup11006,1.9
isogroup11007,-1.7
isogroup11008,0
isogroup11009,0.7
isogroup1101,0.8
isogroup11010,-0.6
isogroup11011,0.3
isogroup11014,-1.2
isogroup11015,2
isogroup11016,-0.1
isogroup11019,1.7
isogroup11020,-1
isogroup11021,0.1
isogroup11022,-0.1
isogroup11023,0.3
isogroup11024,-0.5
isogroup11025,-1.6
isogroup11026,0.2
isogroup11027,1.2
isogroup11028,3.4
isogroup11029,-9.9
isogroup1103,-1.2
isogroup11030,1.3
isogroup11031,-2.8
isogroup11032,1
isogroup11033,1
isogroup11034,-0.3
isogroup11035,0.9
isogroup11036,0.7
isogroup11037,-0.4
isogroup11038,-1
isogroup11039,0
isogroup1104,1.3
isogroup11040,0.8
isogroup11041,0
isogroup11041.1,-0.6
isogroup11042,0
isogroup11043,-0.2
isogroup11044,1
isogroup11045,-1.1
isogroup11046,-0.1
isogroup11047,-1.9
isogroup11048,0.9
isogroup11049,0
isogroup1105,-2.5
isogroup11050,-0.4
isogroup11051,-2.8
isogroup11052,-1.1
isogroup11053,-1.3
isogroup11054,-0.6
isogroup11055,0
isogroup11056,-3.5
isogroup11057,0.8
isogroup11058,-1
isogroup11059,0.1
isogroup1106,-1.3
isogroup11060,0.2
isogroup11061,0.5
isogroup11063,1.2
isogroup11064,0.3
isogroup11065,0.1
isogroup11066,-0.5
isogroup11067,-0.1
isogroup11068,-5.2
isogroup11069,0
isogroup1107,-0.3
isogroup1107.1,0.3
isogroup1107.2,1.8
isogroup11070,-2.5
isogroup11071,0
isogroup11072,0.8
isogroup11073,0.3
isogroup11075,1.6
isogroup11076,3.2
isogroup11077,2.3
isogroup11078,-1.3
isogroup11079,0.2
isogroup1108,1.2
isogroup11080,-0.1
isogroup11081,-1.2
isogroup11083,-0.2
isogroup11084,0.4
isogroup11085.1,0.3
isogroup11086,1.3
isogroup11087,0.2
isogroup11088,-6
isogroup11089,2.5
isogroup1109,1.3
isogroup11091,-0.1
isogroup11092,-1.1
isogroup11094,-0.8
isogroup11095,1.1
isogroup11096,-0.2
isogroup11097,1.1
isogroup11098,-7.2
isogroup111,2.5
isogroup1110,-1.1
isogroup11100,0.1
isogroup11101,10
isogroup11102,7.2
isogroup11103,1.8
isogroup11104,-0.9
isogroup11105,0.6
isogroup11106,-1.7
isogroup11107,-0.5
isogroup11108,0
isogroup11109,0.3
isogroup1111,0.4
isogroup11110,2
isogroup11111,-1.5
isogroup11112,1
isogroup11113,1.6
isogroup11114,-0.6
isogroup11115,0.6
isogroup11116,1.1
isogroup11117,0.4
isogroup11118,0.1
isogroup11119,-0.5
isogroup1112,-0.1
isogroup11120,1
isogroup11121,1.5
isogroup11123,0.3
isogroup11124,0.8
isogroup11125,0.4
isogroup11126,0.4
isogroup11127,-1
isogroup11128,-1.5
isogroup1113,0.2
isogroup11130,0.1
isogroup11131,-1.1
isogroup11132,0.1
isogroup11133,-1
isogroup11134,-0.2
isogroup11136,3
isogroup11137,0.5
isogroup11138,0.7
isogroup11139,1.5
isogroup1114,1.9
